,concept_diversity
3473,15.208450039376917
3476,15.221466904908905
3482,15.729790783344962
3486,15.73714081296414
3489,15.7545940275834
3490,16.995393813398834
3491,17.47827444346618
3503,16.547799751847077
3506,17.61510998847004
3507,15.69772681697785
3512,12.409768508899734
3518,16.880178395093132
3524,15.60908433388854
3525,14.77821114691942
3526,16.745824536184124
3528,18.04179094187232
3552,17.02416648948989
3556,17.401723682167017
3558,16.940691347164435
3563,15.876055308208056
3567,16.416606394021787
3571,17.253266514624407
3582,17.746543303690462
3595,17.83575144164752
3596,15.486752814001775
3603,15.669677305311923
3604,15.997003074435266
3611,17.01427267856012
3612,15.146228443389289
3616,14.062810583323508
3617,14.008582606363856
3619,14.873110490872248
3623,17.34665013495029
3639,16.812363133582945
3641,17.043842678509026
3650,15.978138710066627
3653,15.303623126326812
3654,15.56674862818877
3662,15.585841271996948
3663,15.933163279976013
3672,16.474170048308007
3673,16.378068825313797
3675,17.399030741755187
3679,15.52304385460455
3686,15.385688834414289
3692,15.766117603358554
3698,15.928137351820835
3701,15.694282993961886
3705,15.249205682189888
3710,16.98296024244377
3722,12.735670651086124
3723,15.69521338609196
3724,16.39858362763928
3732,16.67967429995267
3733,14.830606693960474
3735,17.101721505806463
3738,15.948778151506971
3742,16.756110389829168
3748,18.249066380684926
3749,16.50722964917328
3753,15.804646912999956
3761,17.706013533120192
3775,15.507458988527777
3781,15.795620437482
3782,16.164101855438858
3793,16.223914396375566
3808,15.629918628016894
3809,16.01727474843725
3816,16.79597981948848
3821,16.545043339635615
3823,17.678099702146774
3826,16.988293806688464
3833,17.775965909046434
3837,16.73821901156874
3846,15.77692894449084
3850,15.401677405095755
3853,15.836923968920631
3856,16.712719894013116
3860,17.235360166446206
3861,10.960854278916074
3862,17.311322199055628
3867,15.938684414667872
3874,17.018046916709228
3878,17.323373361836595
3886,17.460438865134197
3888,16.143710383880492
3894,15.9859996598803
3904,13.987204433926497
3911,17.357471316452436
3925,16.60521940298479
3930,15.972035655711665
3932,17.33393505658556
3936,16.944589280813148
3938,13.886637743289109
3941,17.67414622174963
3962,15.058877400149274
3964,16.24491762580592
3973,15.64423295652599
3977,16.117176425524956
3979,16.69848211702855
3980,16.545992260799622
3981,16.40287802456072
4018,16.434901449362258
4030,16.44562921239025
4037,14.396204474030217
4042,15.083203397818911
4045,15.25398589198256
4049,15.450469354275688
4058,15.739772587934366
4060,17.403723519856992
4066,17.975892062765542
4079,18.572753130988197
4091,16.932745852494165
4096,16.318403691858236
4097,15.807519367892017
4099,17.103155957304704
4101,15.163149851321082
4102,15.851803683531324
4103,16.25038396862856
4107,16.373829941976485
4113,17.68702270838289
4120,14.548846802976202
4121,14.813026837693224
4124,14.660806291825873
4129,16.269568816704716
4131,15.167299860618405
4138,16.32751606961119
4139,15.121104561537727
4140,17.655504530274758
4147,15.893666374160237
4149,16.30369185484324
4151,15.84897773906316
4153,17.414574379631304
4164,14.588938966590575
4167,15.38632690767648
4176,16.993839337503847
4183,14.560149373988716
4188,16.51964731275154
4192,16.881797722358574
4193,17.31030980265412
4194,16.1173897341758
4198,16.465129215795216
4203,17.068291684254913
4209,14.094305634286524
4213,18.70443754812531
4216,14.57743490999392
4218,14.850778191427096
4233,16.24915683751486
4235,16.32860488837505
4236,17.263142341515554
4240,18.146231449426704
4241,16.252570467939844
4243,16.49484664216537
4244,16.546037386297453
4246,16.832398404862612
4250,16.171320761425587
4251,15.738770457556395
4254,15.78336171814128
4263,17.688279327336726
4266,17.603808501660456
4267,14.144242280962208
4269,17.525794139970785
4271,13.710612687624128
4274,13.137698435495352
4280,16.054988894884396
