,concept_diversity_across_time
2169,16.339717209309047
2170,15.331274546129933
2314,17.458871811757078
2315,14.977539628751051
2316,15.943523183106745
2317,15.02585830766212
2318,17.00071527048712
2421,15.667312256357553
2428,15.778587001663128
2430,16.785797114243866
2440,16.856610506686323
2449,14.318582246524205
2564,14.904796493573892
2566,13.91058206892305
2567,16.14483533367036
2574,18.352312579673058
2663,16.083400605370027
2664,15.914021423931935
2665,16.527567094475938
2666,16.880050801238912
2667,16.986739348821445
2668,16.77076857867695
2669,16.893218311993323
2670,17.15587460567039
2671,16.99075176812048
2672,16.73249659348954
2673,16.88409140813647
2674,17.528729761722232
2675,16.794705329828403
2676,16.713281162492027
2677,16.8218588488198
2678,17.015414950170257
2679,16.237618379505815
2680,16.77631903613954
2681,16.85076978382678
2682,16.688049571510234
2683,17.064697147449962
2684,16.856615417393403
2685,17.432409881490077
2686,16.702145096433476
2687,16.554592369213726
2688,16.86374159062392
2689,16.65365686882788
2690,16.389291948297835
2691,16.29311910180406
2692,16.178904806303688
2693,16.144022254007517
2694,16.412524507450623
2695,16.778488938964845
2696,16.565403317454965
2697,16.82371397635207
2698,16.33416137353914
2699,16.62834429420635
2700,16.248683002150674
2701,16.701109479832812
2702,16.18628684218653
2703,16.23127838183025
2704,16.253808722658228
2705,16.17889578054207
2706,16.69460969273024
2707,16.66529761020387
2708,16.666966597473174
2799,18.738483239440466
2811,16.448375357365343
2812,16.29417057011076
2815,16.55862031273904
2816,16.26068666618502
2817,15.788191951170967
2818,16.891434013465652
2820,16.472308650410586
2821,16.06772168779845
2822,16.013687005908295
2823,17.25422787644416
2824,16.363110037429518
2825,15.671445660190583
2826,16.481397408995818
2827,16.11221842079235
2829,15.749686996552084
2830,17.48619546518916
2831,16.926930342497585
2833,16.295207782991774
2834,17.005164104312545
2835,17.284377204984224
2836,16.263884390489387
2840,16.968412981638526
2842,16.894443445409628
2849,14.333509413931248
2850,15.689594242519378
2851,14.000258617473042
2852,16.24053941690375
2853,14.586590865765867
3076,13.240417171043964
3079,17.00071527048712
3200,18.931568569324174
3205,13.629556130466868
3206,16.925279221631744
3207,13.000506228098416
3209,18.00763738617646
3210,17.15487461918819
3211,16.722664851345588
3212,16.96578978808592
3213,18.538412813076523
3214,18.931568569324174
3215,12.77633135080982
3217,17.880070785645625
3218,15.78439205363534
3334,10.633624970402602
3337,15.984926021097055
3343,15.063050331830077
3344,16.453686617298203
3373,16.192232486211875
3610,13.52006683866814
3611,16.51527004820532
3618,16.71311307691327
3845,17.02719219856574
3848,17.69017472282458
