,concept_diversity_across_time
316,1.4087794941806902
317,-1.8029033295340167
318,0.9576353334649603
319,-0.7992125631910802
320,1.6631321957009106
321,0.057779329909591226
322,2.529178559823393
323,-1.4541504292353995
324,-1.5517526044270937
325,0.0
326,0.24068687468778194
327,2.0099770457005857
328,0.0
329,3.242727039025512
330,-3.747495751396027
331,-1.9980804508296366
332,1.0142464151971815
333,0.6431767040352447
334,0.02222030970053268
335,0.0
336,-1.0581222188608095
337,0.0
338,-0.01453930175560103
339,-2.372121730215211
340,0.0
341,-0.303734702827942
342,1.1923979853995448
343,0.0
344,0.0
345,1.893590242161471
346,-0.884538833897313
347,0.0
348,0.6209229675817767
349,0.0
350,0.45178776289426636
351,0.0
352,-11.49614494931712
353,-2.0818388497725024
354,-3.0276059275019023
355,-1.8102152911417964
356,-0.3441770047004624
357,-3.6826961696808596
358,0.0
359,-0.9224874522070277
360,1.3039471417306299
361,0.014670757747776264
362,0.0
363,-1.6656341872261038
364,0.0
365,0.8780905796607481
366,0.7435493015487111
367,0.6343648843136371
368,0.0
369,0.44054409509928405
370,0.2594206395688339
371,0.05165391533730457
372,0.8686045938020683
373,-0.43553843103144985
374,1.208946197364126
375,0.0
376,2.7241104252219692
377,0.4645038940062065
378,0.0
379,-0.6332198460936791
380,-0.5865331090882986
381,3.0639607939746725
382,0.8117171442153843
383,2.454700560291906
384,-1.414460492592763
385,0.0
386,2.8405454228609877
387,0.0
388,5.965528123804767
389,0.0
390,0.0
391,0.0
392,-1.0385286244971468
393,0.0
394,0.38744067730927156
395,0.0
396,-0.02029853332820153
397,0.0
398,0.0
399,-0.9863817409998283
400,0.7641787399170852
401,-0.37643248800068285
402,4.658108275138968
403,-0.910298369104936
404,1.6083002734355958
405,-3.1542711970082937
406,-0.13330031858328795
407,0.0
408,0.7607344005424945
409,0.0
410,0.0
411,-2.0007042636394523
412,-0.5746338572445175
413,-0.5434958169093136
414,-5.1582638271578585
415,0.0
416,0.0
417,1.3502226600537952
418,-0.9497177132413697
419,-0.08230919204682507
420,3.4233849410660167
421,0.03192904829196941
422,3.361872162473219
423,-0.5533948672946281
424,1.9058738214488091
425,3.1539737816922706
426,-0.6242256991816433
427,0.20628286462026146
428,5.8607270703829375
429,-0.5147230365772977
430,0.0
431,-1.8175134774955843
432,4.627393537431589
433,5.931062341225758
434,-2.530826090360245
435,-0.4811985331312165
436,0.0
437,2.1831927528498696
438,-2.445594854061362
439,-0.21391322398215884
440,1.5130850732906325
441,-2.4359022694844388
442,0.42848237698343183
443,0.0
444,0.11468963280233879
445,0.0
446,0.0
447,-0.08845153174470255
448,0.0
449,-2.1320667200198145
450,0.8070534523822595
451,0.16803748238254812
452,-0.5260725838743383
453,3.4111758641528205
454,0.0
455,0.3153679619403249
456,0.0
457,-1.0016153037832325
458,0.0
459,-0.8894081692699096
460,-1.960676702742628
461,0.5715856517271476
462,-1.5280685404119545
463,1.7913469458361408
464,0.9668385729046456
465,0.0
466,-0.2682828224026359
467,0.5514355522191785
468,3.689155439356913
469,-2.413962286684553
470,0.5167467846005263
471,-3.4464401995440657
472,0.19571435105619628
473,2.7167250437675836
474,0.0
475,-2.579517891552797
476,-1.0783399157403863
477,-0.7432081276682432
478,0.0
479,-0.43854430565108693
480,-0.07560429723581663
481,0.0
482,2.502026962729918
483,0.5604854453784718
484,-0.41509640159824457
485,-2.2624009236176725
486,0.7487438235633945
487,-0.23349036820048852
488,1.3105191874921651
489,2.6413411923564336
490,1.991279411952208
491,0.0
492,-0.2692397581095598
493,-0.2879821176320725
494,0.0
495,2.6294566660368073
496,2.4006052193893
497,1.240528385082012
498,-1.7900311512484581
499,0.0
500,-0.5146143827179799
501,-4.135613635422333
502,-2.6654479027336535
503,5.998101113866024
504,-0.9380974506598729
505,2.099518507989856
506,7.015991106009723
507,-2.3870888397924723
508,8.034880842966212
509,0.7961646663643762
510,-2.4897497311581187
511,3.0821532707564483
512,2.8603873422174786
513,1.8777124198446522
514,-2.401682457252477
515,-1.396425231838485
516,-3.6983729040816957
517,0.0
518,2.1554362490718155
519,2.5069641841906876
520,-12.980928344590444
521,2.556387500371118
522,-0.6092339358305772
523,4.471661350313118
524,2.9286295772467827
525,0.0
526,0.44540817755479445
527,-1.9446781444211432
528,-1.594473800435928
529,0.0
530,2.9213326431383546
531,-0.2687186225807494
532,-1.5671495300072902
533,-4.371950278715348
534,1.8850818832145695
535,0.9654266494185251
536,0.15087966626904858
537,2.5363383267758266
538,1.681586630945544
539,1.1211598192621697
540,0.0
541,0.0
542,-9.247660990398673
543,0.7474949446657249
544,-0.8560508146871442
545,2.3609269966677555
546,-0.12817535395730317
547,2.318920260597057
548,0.0
549,1.676261716955871
550,-0.13673761265403428
551,3.931280436578861
552,-1.5310660812752506
553,0.9746649314576352
554,0.8350030917947642
555,-1.488817303758605
556,-1.320426369790221
557,1.3849442896564153
558,0.0
559,-3.4762484466053483
560,0.2887925449019697
